customer_id,name_ar,name_en,national_id,population_status
CUST100000,أحمد يوسف,Ahmed Youssef,SYN155856795886,APPROVED
CUST100001,ياسمين عمر,Yasmine Omar,SYN512435837382,APPROVED
CUST100002,مصطفى سالم,Mostafa Salem,SYN216127051463,APPROVED
CUST100003,نور كمال,Nour Kamal,SYN237094039141,APPROVED
CUST100004,نور علي,Nour Ali,SYN669054531727,APPROVED
CUST100005,إسراء كمال,Esraa Kamal,SYN453634652413,APPROVED
CUST100006,أحمد يوسف,Ahmed Youssef,SYN929667205139,APPROVED
CUST100007,مصطفى إبراهيم,Mostafa Ibrahim,SYN387240845147,APPROVED
CUST100008,يوسف عمر,Youssef Omar,SYN753562115545,APPROVED
CUST100009,أحمد إبراهيم,Ahmed Ibrahim,SYN514989487139,APPROVED
CUST100010,هبة محمود,Heba Mahmoud,SYN693956171016,APPROVED
CUST100011,عبدالرحمن عمر,Abdelrahman Omar,SYN639725821044,APPROVED
CUST100012,,Khaled Hussein,SYN525505575483,APPROVED
CUST100013,ياسمين محمود,Yasmine Mahmoud,SYN955054985161,APPROVED
CUST100014,خالد إبراهيم,Khaled Ibrahim,SYN408442278479,APPROVED
CUST100015,ياسمين يوسف,Yasmine Youssef,SYN259511951124,APPROVED
CUST100016,هبة محمد,Heba Mohamed,SYN710284654791,APPROVED
CUST100017,محمود إبراهيم,Mahmoud Ibrahim,SYN861406805177,APPROVED
CUST100018,آية أحمد,Aya Ahmed,SYN136228365945,APPROVED
CUST100019,منى علي,Mona Ali,SYN504669419580,APPROVED
CUST100020,هبة أحمد,Heba Ahmed,SYN903238920718,APPROVED
CUST100021,مريم علي,Mariam Ali,SYN774656757030,APPROVED
CUST100022,عمر كمال,Omar Kamal,SYN992626944847,APPROVED
CUST100023,عبدالله يوسف,Abdullah Youssef,SYN578272430437,APPROVED
CUST100024,ياسمين يوسف,Yasmine Youssef,SYN693996146921,APPROVED
CUST100025,كريم أحمد,Karim Ahmed,SYN372232253024,APPROVED
CUST100026,نور علي,Nour Ali,SYN952782039699,APPROVED
CUST100027,آية محمود,Aya Mahmoud,SYN429701939700,APPROVED
CUST100028,هبة سالم,Heba Salem,SYN764659641417,APPROVED
CUST100029,نور محمد,Nour Mohamed,SYN462826183707,APPROVED
CUST100030,منى إبراهيم,Mona Ibrahim,SYN605637037056,APPROVED
