customer_id,name_ar,name_en,national_id,risk_level,screening_status,account_status,last_transaction_date,wallet_status,risk_exception_approved,risk_exception_reference,risk_exception_reviewer,dormant_handling_status
CUST100000,أحمد يوسف,Ahmed Youssef,SYN155856795886,MEDIUM,CLEAR,ACTIVE,2026-03-13,OPENED,False,,,NOT_REQUIRED
CUST100001,ياسمين عمر,Yasmine Omar,SYN512435837382,LOW,CLEAR,ACTIVE,2026-02-15,OPENED,False,,,NOT_REQUIRED
CUST100002,مصطفى سالم,Mostafa Salem,SYN216127051463,HIGH,CLEAR,ACTIVE,2026-04-20,OPENED,False,,,NOT_REQUIRED
CUST100003,نور كمال,Nour Kamal,SYN237094039141,LOW,CLEAR,ACTIVE,2026-05-20,OPENED,False,,,NOT_REQUIRED
CUST100004,نور علي,Nour Ali,SYN669054531727,LOW,CLEAR,ACTIVE,2026-02-24,OPENED,False,,,NOT_REQUIRED
CUST100005,إسراء كمال,Esraa Kamal,SYN453634652413,MEDIUM,HIGH_RISK,ACTIVE,2026-06-11,OPENED,False,,,NOT_REQUIRED
CUST100006,أحمد يوسف,Ahmed Youssef,SYN929667205139,LOW,CLEAR,ACTIVE,2026-05-15,OPENED,False,,,NOT_REQUIRED
CUST100007,مصطفى إبراهيم,Mostafa Ibrahim,SYN387240845147,LOW,CLEAR,ACTIVE,2026-02-04,OPENED,False,,,NOT_REQUIRED
CUST100008,يوسف عمر,Youssef Omar,SYN753562115545,LOW,CLEAR,ACTIVE,2026-07-17,OPENED,False,,,NOT_REQUIRED
CUST100009,أحمد إبراهيم,Ahmed Ibrahim,SYN514989487139,LOW,CLEAR,ACTIVE,2026-01-10,OPENED,False,,,NOT_REQUIRED
CUST100010,هبة محمود,Heba Mahmoud,SYN693956171016,LOW,CLEAR,ACTIVE,2026-05-18,OPENED,False,,,NOT_REQUIRED
CUST100011,عبدالرحمن عمر,Abdelrahman Omar,SYN639725821044,LOW,HIGH_RISK,ACTIVE,2026-04-03,REVIEW,False,,,NOT_REQUIRED
CUST100012,,Khaled Hussein,SYN525505575483,LOW,CLEAR,DORMANT,2026-05-18,OPENED,False,,,COMPLETED
CUST100013,ياسمين محمود,Yasmine Mahmoud,SYN955054985161,LOW,CLEAR,ACTIVE,2026-06-12,OPENED,False,,,NOT_REQUIRED
CUST100014,خالد إبراهيم,Khaled Ibrahim,SYN408442278479,LOW,CLEAR,ACTIVE,2026-05-25,OPENED,False,,,NOT_REQUIRED
CUST100015,ياسمين يوسف,Yasmine Youssef,SYN259511951124,LOW,CLEAR,ACTIVE,2026-05-17,OPENED,False,,,NOT_REQUIRED
CUST100016,هبة محمد,Heba Mohamed,SYN710284654791,LOW,NO_MATCH,ACTIVE,2026-06-26,OPENED,False,,,NOT_REQUIRED
CUST100017,محمود إبراهيم,Mahmoud Ibrahim,SYN861406805177,LOW,CLEAR,ACTIVE,2026-05-28,OPENED,False,,,NOT_REQUIRED
CUST100018,آية أحمد,Aya Ahmed,SYN136228365945,LOW,CLEAR,ACTIVE,2026-06-20,OPENED,False,,,NOT_REQUIRED
CUST100019,منى علي,Mona Ali,SYN504669419580,LOW,CLEAR,ACTIVE,2026-03-26,OPENED,False,,,NOT_REQUIRED
CUST100020,هبة أحمد,Heba Ahmed,SYN903238920718,LOW,CLEAR,ACTIVE,2026-02-12,OPENED,False,,,NOT_REQUIRED
CUST100021,مريم علي,Mariam Ali,SYN774656757030,LOW,CLEAR,ACTIVE,2026-02-19,OPENED,False,,,NOT_REQUIRED
CUST100022,عمر كمال,Omar Kamal,SYN992626944847,LOW,CLEAR,ACTIVE,2026-05-09,OPENED,False,,,NOT_REQUIRED
CUST100023,عبدالله يوسف,Abdullah Youssef,SYN578272430437,LOW,CLEAR,ACTIVE,2026-04-22,OPENED,False,,,NOT_REQUIRED
CUST100024,ياسمين يوسف,Yasmine Youssef,SYN693996146921,LOW,CLEAR,ACTIVE,2026-01-17,OPENED,False,,,NOT_REQUIRED
CUST100025,كريم أحمد,Karim Ahmed,SYN372232253024,LOW,CLEAR,DORMANT,2026-02-12,OPENED,False,,,COMPLETED
CUST100026,نور علي,Nour Ali,SYN952782039699,MEDIUM,CLEAR,ACTIVE,2026-07-23,OPENED,False,,,NOT_REQUIRED
CUST100027,آية محمود,Aya Mahmoud,SYN429701939700,LOW,PENDING,ACTIVE,2026-06-02,OPENED,False,,,NOT_REQUIRED
CUST100028,هبة سالم,Heba Salem,SYN764659641417,LOW,CLEAR,ACTIVE,2026-06-08,OPENED,False,,,NOT_REQUIRED
CUST100029,نور محمد,Nour Mohamed,SYN462826183707,LOW,CLEAR,ACTIVE,2026-02-11,OPENED,False,,,NOT_REQUIRED
CUST100030,منى إبراهيم,Mona Ibrahim,SYN605637037056,LOW,CLEAR,ACTIVE,2026-01-14,OPENED,False,,,NOT_REQUIRED
CUST100031,يوسف حسن,Youssef Hassan,SYN747804281519,HIGH,CLEAR,ACTIVE,2026-03-03,OPENED,False,,,NOT_REQUIRED
CUST100032,أحمد فؤاد,Ahmed Fouad,SYN558040736576,LOW,CLEAR,ACTIVE,2026-06-29,OPENED,False,,,NOT_REQUIRED
CUST100033,دينا محمود,Dina Mahmoud,SYN916377694218,LOW,CLEAR,ACTIVE,2026-04-17,OPENED,False,,,NOT_REQUIRED
CUST100034,إسراء أحمد,Esraa Ahmed,SYN477370889135,LOW,NO_MATCH,ACTIVE,2026-06-14,OPENED,False,,,NOT_REQUIRED
CUST100035,أحمد عمر,Ahmed Omar,SYN682364618328,MEDIUM,CLEAR,ACTIVE,2026-04-13,OPENED,False,,,NOT_REQUIRED
CUST100036,إسراء كمال,Esraa Kamal,SYN408126189970,HIGH,CLEAR,ACTIVE,2026-04-13,OPENED,False,,,NOT_REQUIRED
CUST100037,آية أحمد,Aya Ahmed,SYN467341001407,LOW,CLEAR,ACTIVE,2026-05-07,OPENED,False,,,NOT_REQUIRED
CUST100038,علي عبدالله,Ali Abdallah,SYN496045097410,LOW,CLEAR,ACTIVE,2026-07-21,OPENED,False,,,NOT_REQUIRED
CUST100039,كريم يوسف,Karim Youssef,SYN213226316481,MEDIUM,CLEAR,ACTIVE,2026-04-02,PENDING,False,,,NOT_REQUIRED
CUST100040,عمر فؤاد,Omar Fouad,SYN182551311153,LOW,CLEAR,ACTIVE,2026-05-06,OPENED,False,,,NOT_REQUIRED
CUST100041,ياسمين يوسف,Yasmine Youssef,SYN700740930832,MEDIUM,NO_MATCH,ACTIVE,2026-07-13,OPENED,False,,,NOT_REQUIRED
CUST100042,خالد عبدالله,Khaled Abdallah,SYN689965964508,LOW,CLEAR,ACTIVE,2026-03-20,OPENED,False,,,NOT_REQUIRED
CUST100043,مريم محمد,Mariam Mohamed,SYN696618742789,MEDIUM,CLEAR,DORMANT,2026-06-26,OPENED,False,,,PENDING
CUST100044,أحمد فؤاد,Ahmed Fouad,SYN117789800808,HIGH,HIGH_RISK,ACTIVE,2026-04-23,OPENED,False,,,NOT_REQUIRED
CUST100045,عبدالرحمن حسن,Abdelrahman Hassan,SYN393892158404,LOW,NO_MATCH,ACTIVE,2026-07-04,OPENED,False,,,NOT_REQUIRED
CUST100046,نور حسين,Nour Hussein,SYN278028862533,LOW,CLEAR,ACTIVE,2026-04-09,OPENED,False,,,NOT_REQUIRED
CUST100047,إسراء منصور,Esraa Mansour,SYN800336280289,LOW,CLEAR,ACTIVE,2026-05-13,OPENED,False,,,NOT_REQUIRED
CUST100048,مصطفى فؤاد,Mostafa Fouad,SYN874567361256,LOW,NO_MATCH,ACTIVE,2026-03-09,OPENED,False,,,NOT_REQUIRED
CUST100049,ياسمين علي,Yasmine Ali,SYN322012339503,LOW,CLEAR,ACTIVE,2026-05-14,OPENED,False,,,NOT_REQUIRED
CUST100050,ياسمين إبراهيم,Yasmine Ibrahim,SYN701064242963,HIGH,HIGH_RISK,DORMANT,2026-03-10,REVIEW,False,,,COMPLETED
CUST100051,Omar Mohamed,Omar Mohamed,SYN216426523112,LOW,CLEAR,ACTIVE,2026-05-08,PENDING,False,,,NOT_REQUIRED
CUST100052,مريم إبراهيم,Mariam Ibrahim,SYN347637273041,LOW,CLEAR,ACTIVE,2026-06-15,OPENED,False,,,NOT_REQUIRED
CUST100053,منى مراد,Mona Mourad,SYN224789046610,MEDIUM,CLEAR,ACTIVE,2026-04-02,OPENED,False,,,NOT_REQUIRED
CUST100054,منى علي,Mona Ali,SYN355168689939,LOW,CLEAR,ACTIVE,2026-04-01,OPENED,False,,,NOT_REQUIRED
CUST100055,محمد مراد,Mohamed Mourad,SYN707262892614,LOW,CLEAR,ACTIVE,2026-03-09,OPENED,False,,,NOT_REQUIRED
CUST100056,هبة عبدالله,Heba Abdallah,SYN919294219166,HIGH,CLEAR,ACTIVE,2026-06-03,REVIEW,False,,,NOT_REQUIRED
CUST100057,عمر عمر,Omar Omar,SYN282270167131,LOW,CLEAR,DORMANT,2026-05-05,OPENED,False,,,PENDING
CUST100058,خالد عبدالله,Khaled Abdallah,SYN587871131455,LOW,CLEAR,ACTIVE,2026-04-19,OPENED,False,,,NOT_REQUIRED
CUST100059,مصطفى محمود,Mostafa Mahmoud,SYN731251991119,LOW,CLEAR,ACTIVE,2026-01-06,OPENED,False,,,NOT_REQUIRED
CUST100060,عبدالله عمر,Abdullah Omar,SYN957630221637,HIGH,CLEAR,DORMANT,2026-01-24,REVIEW,False,,,COMPLETED
CUST100061,خالد فؤاد,Khaled Fouad,SYN649054434598,LOW,CLEAR,DORMANT,2026-01-02,OPENED,False,,,PENDING
CUST100062,مريم حسن,Mariam Hassan,SYN329596237924,LOW,CLEAR,ACTIVE,2026-06-28,OPENED,False,,,NOT_REQUIRED
CUST100063,عبدالرحمن فؤاد,Abdelrahman Fouad,SYN662930341222,LOW,HIGH_RISK,ACTIVE,2026-06-28,REVIEW,False,,,NOT_REQUIRED
CUST100064,نور عمر,Nour Omar,SYN388442045510,LOW,CLEAR,ACTIVE,2026-01-15,OPENED,False,,,NOT_REQUIRED
CUST100065,سارة محمد,Sara Mohamed,SYN978515551622,MEDIUM,CLEAR,ACTIVE,2026-01-10,OPENED,False,,,NOT_REQUIRED
CUST100066,عبدالله كمال,Abdullah Kamal,SYN459708521647,LOW,CLEAR,ACTIVE,2026-06-14,OPENED,False,,,NOT_REQUIRED
CUST100067,مريم منصور,Mariam Mansour,SYN716884948684,HIGH,CLEAR,ACTIVE,2026-04-21,REVIEW,False,,,NOT_REQUIRED
CUST100068,أحمد محمد,Ahmed Mohamed,SYN120904824112,LOW,CLEAR,DORMANT,2026-03-06,OPENED,False,,,PENDING
CUST100069,منى أحمد,Mona Ahmed,SYN460055301521,LOW,CLEAR,ACTIVE,2026-05-10,OPENED,False,,,NOT_REQUIRED
CUST100070,ياسمين فؤاد,Yasmine Fouad,SYN887596851990,MEDIUM,CLEAR,ACTIVE,2026-02-19,OPENED,False,,,NOT_REQUIRED
CUST100071,عمر حسين,Omar Hussein,SYN649204699989,LOW,NO_MATCH,ACTIVE,2026-02-11,PENDING,False,,,NOT_REQUIRED
CUST100072,منى عمر,Mona Omar,SYN499548597756,LOW,CLEAR,ACTIVE,2026-03-19,OPENED,False,,,NOT_REQUIRED
CUST100073,محمود إبراهيم,Mahmoud Ibrahim,SYN942343749492,MEDIUM,PENDING,ACTIVE,2026-07-08,OPENED,False,,,NOT_REQUIRED
CUST100074,مصطفى إبراهيم,Mostafa Ibrahim,SYN868585938532,LOW,PENDING,ACTIVE,2026-06-11,OPENED,False,,,NOT_REQUIRED
CUST100075,منى حسن,Mona Hassan,SYN389994106440,LOW,NO_MATCH,ACTIVE,2026-02-09,OPENED,False,,,NOT_REQUIRED
CUST100076,سارة فؤاد,Sara Fouad,SYN590093561837,HIGH,CLEAR,ACTIVE,2026-04-28,REVIEW,False,,,NOT_REQUIRED
CUST100077,يوسف حسن,Youssef Hassan,SYN540841830483,LOW,CLEAR,ACTIVE,2026-07-05,OPENED,False,,,NOT_REQUIRED
CUST100078,دينا عبدالله,Dina Abdallah,SYN668982250103,LOW,CLEAR,ACTIVE,2026-07-19,OPENED,False,,,NOT_REQUIRED
CUST100079,مصطفى يوسف,Mostafa Youssef,SYN400700140262,LOW,CLEAR,ACTIVE,2026-06-10,OPENED,False,,,NOT_REQUIRED
CUST100080,عبدالله كمال,Abdullah Kamal,SYN319784500689,LOW,CLEAR,ACTIVE,2026-01-28,OPENED,False,,,NOT_REQUIRED
CUST100081,نور مراد,Nour Mourad,SYN921404651729,LOW,CLEAR,ACTIVE,2026-02-20,OPENED,False,,,NOT_REQUIRED
CUST100082,عمر مراد,Omar Mourad,SYN931487049548,LOW,CLEAR,ACTIVE,2026-02-15,OPENED,False,,,NOT_REQUIRED
CUST100083,آية سالم,Aya Salem,SYN858990597185,LOW,CLEAR,ACTIVE,2026-02-01,OPENED,False,,,NOT_REQUIRED
CUST100084,كريم حسين,Karim Hussein,SYN980383987688,LOW,CLEAR,ACTIVE,2026-02-06,OPENED,False,,,NOT_REQUIRED
CUST100085,خالد يوسف,Khaled Youssef,SYN770492373201,LOW,CLEAR,DORMANT,2026-03-08,OPENED,False,,,PENDING
CUST100086,أحمد يوسف,Ahmed Youssef,SYN788200505705,LOW,CLEAR,ACTIVE,2026-04-27,OPENED,False,,,NOT_REQUIRED
CUST100087,,Sara Mourad,SYN786331082766,LOW,CLEAR,ACTIVE,2026-03-25,OPENED,False,,,NOT_REQUIRED
CUST100088,ياسمين منصور,Yasmine Mansour,SYN532546867848,LOW,CLEAR,ACTIVE,2026-03-30,OPENED,False,,,NOT_REQUIRED
CUST100089,آية حسن,Aya Hassan,SYN510806975062,LOW,NO_MATCH,ACTIVE,2026-02-21,OPENED,False,,,NOT_REQUIRED
CUST100090,نور إبراهيم,Nour Ibrahim,SYN316203648534,LOW,PENDING,ACTIVE,2026-02-01,OPENED,False,,,NOT_REQUIRED
CUST100091,آية عبدالله,Aya Abdallah,SYN680337274923,MEDIUM,NO_MATCH,ACTIVE,2026-07-29,OPENED,False,,,NOT_REQUIRED
CUST100092,آية يوسف,Aya Youssef,SYN360388122492,LOW,PENDING,ACTIVE,2026-05-06,OPENED,False,,,NOT_REQUIRED
CUST100093,مريم محمد,Mariam Mohamed,SYN332027568732,LOW,NO_MATCH,ACTIVE,2026-02-18,PENDING,False,,,NOT_REQUIRED
CUST100094,إسراء محمود,Esraa Mahmoud,SYN627365236686,MEDIUM,CLEAR,ACTIVE,2026-06-20,OPENED,False,,,NOT_REQUIRED
CUST100095,علي علي,Ali Ali,SYN468984149402,LOW,CLEAR,ACTIVE,2026-06-24,OPENED,False,,,NOT_REQUIRED
CUST100096,يوسف يوسف,Youssef Youssef,SYN296970947915,LOW,CLEAR,ACTIVE,2026-07-23,OPENED,False,,,NOT_REQUIRED
CUST100097,مصطفى عمر,Mostafa Omar,SYN834450415077,LOW,CLEAR,ACTIVE,2026-02-03,OPENED,False,,,NOT_REQUIRED
CUST100098,كريم أحمد,Karim Ahmed,SYN874512927364,LOW,CLEAR,ACTIVE,2026-05-15,OPENED,False,,,NOT_REQUIRED
CUST100099,محمود عبدالله,Mahmoud Abdallah,SYN250929567710,LOW,CLEAR,ACTIVE,2026-07-25,OPENED,False,,,NOT_REQUIRED
CUST100100,آية إبراهيم,Aya Ibrahim,SYN106756329519,MEDIUM,NO_MATCH,ACTIVE,2026-06-19,OPENED,False,,,NOT_REQUIRED
CUST100101,عمر إبراهيم,Omar Ibrahim,SYN402516971676,LOW,CLEAR,ACTIVE,2026-02-17,PENDING,False,,,NOT_REQUIRED
CUST100102,آية كمال,Aya Kamal,SYN817759752112,MEDIUM,NO_MATCH,ACTIVE,2026-07-07,OPENED,False,,,NOT_REQUIRED
CUST100103,محمد حسن,Mohamed Hassan,SYN855256479610,MEDIUM,CLEAR,ACTIVE,2026-03-30,OPENED,False,,,NOT_REQUIRED
CUST100104,ياسمين محمود,Yasmine Mahmoud,SYN224496163104,LOW,CLEAR,ACTIVE,2026-04-13,OPENED,False,,,NOT_REQUIRED
CUST100105,ياسمين حسن,Yasmine Hassan,SYN796902311064,LOW,CLEAR,ACTIVE,2026-04-28,OPENED,False,,,NOT_REQUIRED
CUST100106,ياسمين حسين,Yasmine Hussein,SYN204133750578,LOW,CLEAR,ACTIVE,2026-06-11,PENDING,False,,,NOT_REQUIRED
CUST100107,مصطفى كمال,Mostafa Kamal,SYN451056331140,HIGH,CLEAR,ACTIVE,2026-01-26,REVIEW,False,,,NOT_REQUIRED
CUST100108,منى مراد,Mona Mourad,SYN998748563510,LOW,CLEAR,DORMANT,2026-04-24,OPENED,False,,,PENDING
CUST100109,خالد أحمد,Khaled Ahmed,SYN273331740907,LOW,NO_MATCH,ACTIVE,2026-06-21,OPENED,False,,,NOT_REQUIRED
CUST100110,علي منصور,Ali Mansour,SYN238567224319,LOW,CLEAR,ACTIVE,2026-04-26,PENDING,False,,,NOT_REQUIRED
CUST100111,ياسمين حسين,Yasmine Hussein,SYN480520299292,LOW,CLEAR,ACTIVE,2026-02-27,OPENED,False,,,NOT_REQUIRED
CUST100112,دينا حسن,Dina Hassan,SYN657701673372,LOW,CLEAR,ACTIVE,2026-01-12,OPENED,False,,,NOT_REQUIRED
CUST100113,منى محمود,Mona Mahmoud,SYN939610704171,LOW,CLEAR,ACTIVE,2026-04-26,OPENED,False,,,NOT_REQUIRED
CUST100114,هبة حسن,Heba Hassan,SYN982739030979,LOW,CLEAR,ACTIVE,2026-05-28,OPENED,False,,,NOT_REQUIRED
CUST100115,دينا إبراهيم,Dina Ibrahim,SYN162676572932,MEDIUM,CLEAR,ACTIVE,2026-04-26,OPENED,False,,,NOT_REQUIRED
CUST100116,محمد مراد,Mohamed Mourad,SYN224197765613,LOW,CLEAR,ACTIVE,2026-07-25,OPENED,False,,,NOT_REQUIRED
CUST100117,محمود سالم,Mahmoud Salem,SYN811664176506,LOW,CLEAR,ACTIVE,2026-05-07,OPENED,False,,,NOT_REQUIRED
CUST100118,يوسف فؤاد,Youssef Fouad,SYN343568937043,LOW,CLEAR,ACTIVE,2026-04-17,OPENED,False,,,NOT_REQUIRED
CUST100119,محمود إبراهيم,Mahmoud Ibrahim,SYN896364153555,HIGH,CLEAR,ACTIVE,2026-01-12,OPENED,True,EXC-100119,SYN-REVIEWER-01,NOT_REQUIRED
CUST100120,نور أحمد,Nour Ahmed,SYN697107931506,LOW,CLEAR,DORMANT,2026-04-28,OPENED,False,,,PENDING
CUST100121,مصطفى علي,Mostafa Ali,SYN200660322142,LOW,CLEAR,ACTIVE,2026-02-05,OPENED,False,,,NOT_REQUIRED
CUST100122,مصطفى محمود,Mostafa Mahmoud,SYN849276356431,LOW,CLEAR,ACTIVE,2026-06-02,OPENED,False,,,NOT_REQUIRED
CUST100123,منى حسين,Mona Hussein,SYN258720742007,LOW,CLEAR,ACTIVE,2026-02-03,OPENED,False,,,NOT_REQUIRED
CUST100124,إسراء يوسف,Esraa Youssef,SYN481145855211,LOW,CLEAR,DORMANT,2026-07-10,PENDING,False,,,COMPLETED
CUST100125,دينا يوسف,Dina Youssef,SYN596966435703,LOW,CLEAR,ACTIVE,2026-03-05,OPENED,False,,,NOT_REQUIRED
CUST100126,أحمد يوسف,Ahmed Youssef,SYN550689534172,LOW,CLEAR,ACTIVE,2026-04-02,OPENED,False,,,NOT_REQUIRED
CUST100127,ياسمين منصور,Yasmine Mansour,SYN717546624053,LOW,CLEAR,ACTIVE,2026-01-31,OPENED,False,,,NOT_REQUIRED
CUST100128,دينا سالم,Dina Salem,SYN687418061382,LOW,CLEAR,ACTIVE,2026-02-14,PENDING,False,,,NOT_REQUIRED
CUST100129,كريم منصور,Karim Mansour,SYN992837804975,LOW,NO_MATCH,ACTIVE,2026-07-13,OPENED,False,,,NOT_REQUIRED
