customer_id,name_ar,risk_level,screening_status,account_status,wallet_status,report_status,risk_exception_approved,risk_exception_reference,dormant_handling_status
CUST100000,أحمد يوسف,MEDIUM,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100001,ياسمين عمر,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100002,مصطفى سالم,HIGH,CLEAR,ACTIVE,OPENED,REVIEW,False,,NOT_REQUIRED
CUST100003,نور كمال,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100004,نور علي,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100005,إسراء كمال,MEDIUM,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100006,أحمد يوسف,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100007,مصطفى إبراهيم,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100008,يوسف عمر,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100009,أحمد إبراهيم,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100010,هبة محمود,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100011,عبدالرحمن عمر,LOW,HIGH_RISK,ACTIVE,REVIEW,REVIEW,False,,NOT_REQUIRED
CUST100012,,LOW,CLEAR,DORMANT,OPENED,OPENED,False,,COMPLETED
CUST100013,ياسمين محمود,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100014,خالد إبراهيم,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100015,ياسمين يوسف,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100016,هبة محمد,LOW,NO_MATCH,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100017,محمود إبراهيم,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100018,آية أحمد,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100019,منى علي,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100020,هبة أحمد,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100021,مريم علي,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100022,عمر كمال,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100023,عبدالله يوسف,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100024,ياسمين يوسف,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100025,كريم أحمد,LOW,CLEAR,DORMANT,OPENED,OPENED,False,,COMPLETED
CUST100026,نور علي,MEDIUM,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100027,آية محمود,LOW,PENDING,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100028,هبة سالم,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100029,نور محمد,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100030,منى إبراهيم,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100031,يوسف حسن,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100032,أحمد فؤاد,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100033,دينا محمود,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100034,إسراء أحمد,LOW,NO_MATCH,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100035,أحمد عمر,MEDIUM,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100036,إسراء كمال,HIGH,CLEAR,ACTIVE,OPENED,REVIEW,False,,NOT_REQUIRED
CUST100037,آية أحمد,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100038,علي عبدالله,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100039,كريم يوسف,MEDIUM,CLEAR,ACTIVE,PENDING,PENDING,False,,NOT_REQUIRED
CUST100040,عمر فؤاد,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100041,ياسمين يوسف,MEDIUM,NO_MATCH,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100042,خالد عبدالله,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100043,مريم محمد,MEDIUM,CLEAR,DORMANT,OPENED,OPENED,False,,PENDING
CUST100045,عبدالرحمن حسن,LOW,NO_MATCH,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100046,نور حسين,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100047,إسراء منصور,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100048,مصطفى فؤاد,LOW,NO_MATCH,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100049,ياسمين علي,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100050,ياسمين إبراهيم,HIGH,HIGH_RISK,DORMANT,REVIEW,REVIEW,False,,COMPLETED
CUST100051,Omar Mohamed,LOW,CLEAR,ACTIVE,PENDING,PENDING,False,,NOT_REQUIRED
CUST100052,مريم إبراهيم,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100053,منى مراد,MEDIUM,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100054,منى علي,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100055,محمد مراد,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100056,هبة عبدالله,HIGH,CLEAR,ACTIVE,REVIEW,REVIEW,False,,NOT_REQUIRED
CUST100057,عمر عمر,LOW,CLEAR,DORMANT,OPENED,OPENED,False,,PENDING
CUST100058,خالد عبدالله,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100059,مصطفى محمود,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100060,عبدالله عمر,HIGH,CLEAR,DORMANT,REVIEW,REVIEW,False,,COMPLETED
CUST100061,خالد فؤاد,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,COMPLETED
CUST100062,مريم حسن,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100063,عبدالرحمن فؤاد,LOW,HIGH_RISK,ACTIVE,REVIEW,REVIEW,False,,NOT_REQUIRED
CUST100064,نور عمر,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100065,سارة محمد,MEDIUM,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100066,عبدالله كمال,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100067,مريم منصور,HIGH,CLEAR,ACTIVE,REVIEW,REVIEW,False,,NOT_REQUIRED
CUST100068,أحمد محمد,LOW,CLEAR,DORMANT,OPENED,OPENED,False,,PENDING
CUST100069,منى أحمد,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100070,ياسمين فؤاد,MEDIUM,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100071,عمر حسين,LOW,NO_MATCH,ACTIVE,PENDING,PENDING,False,,NOT_REQUIRED
CUST100072,منى عمر,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100073,محمود إبراهيم,MEDIUM,PENDING,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100074,مصطفى إبراهيم,LOW,PENDING,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100075,منى حسن,LOW,NO_MATCH,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100076,سارة فؤاد,HIGH,CLEAR,ACTIVE,REVIEW,REVIEW,False,,NOT_REQUIRED
CUST100077,يوسف حسن,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100078,دينا عبدالله,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100079,مصطفى يوسف,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100080,عبدالله كمال,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100081,نور مراد,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100082,عمر مراد,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
CUST100083,آية سالم,LOW,CLEAR,ACTIVE,OPENED,OPENED,False,,NOT_REQUIRED
