customer_id,name_en,national_id,partner_customer_name,requested_wallet
CUST100000,Ahmed Youssef,SYN155856795886,Ahmed Youssef,YES
CUST100001,Yasmine Omar,SYN512435837382,Yasmine Omar,YES
CUST100002,Mostafa Salem,SYN216127051463,Mostafa Salem,YES
CUST100003,Nour Kamal,SYN237094039141,Nour Kamal,YES
CUST100004,Nour Ali,SYN669054531727,Nour Ali,YES
CUST100005,Esraa Kamal,SYN453634652413,Esraa Kamal,YES
CUST100006,Ahmed Youssef,SYN929667205139,Ahmed Youssef,YES
CUST100007,Mostafa Ibrahim,SYN387240845147,Mostafa Ibrahim,YES
CUST100008,Youssef Omar,SYN753562115545,Youssef Omar,YES
CUST100009,Ahmed Ibrahim,SYN514989487139,Ahmed Ibrahim,YES
CUST100010,Heba Mahmoud,SYN693956171016,Heba Mahmoud,YES
CUST100011,Abdelrahman Omar,SYN639725821044,Abdelrahman Omar,YES
CUST100012,Khaled Hussein,SYN525505575483,Khaled Hussein,YES
CUST100013,Yasmine Mahmoud,SYN955054985161,Yasmine Mahmoud,YES
CUST100014,Khaled Ibrahim,SYN408442278479,Khaled Ibrahim,YES
CUST100015,Yasmine Youssef,SYN259511951124,Yasmine Youssef,YES
CUST100016,Heba Mohamed,SYN710284654791,Heba Mohamed,YES
CUST100017,Mahmoud Ibrahim,SYN861406805177,Mehmoud Ibrahim,YES
CUST100018,Aya Ahmed,SYN136228365945,Aya Ahmed,YES
CUST100019,Mona Ali,SYN504669419580,Mona Ali,YES
CUST100020,Heba Ahmed,SYN903238920718,Heba Ahmed,YES
CUST100021,Mariam Ali,SYN774656757030,Mariam Ali,YES
CUST100022,Omar Kamal,SYN992626944847,Omar Kamal,YES
CUST100023,Abdullah Youssef,SYN578272430437,Abdullah Youssef,YES
CUST100024,Yasmine Youssef,SYN693996146921,Yasmine Youssef,YES
CUST100025,Karim Ahmed,SYN372232253024,Karim Ahmed,YES
CUST100026,Nour Ali,SYN952782039699,Nour Ali,YES
CUST100027,Aya Mahmoud,SYN429701939700,Aya Mahmoud,YES
CUST100028,Heba Salem,SYN764659641417,Heba Salem,YES
CUST100029,Nour Mohamed,SYN462826183707,Nour Mohamed,YES
CUST100030,Mona Ibrahim,SYN605637037056,Mona Ibrahim,YES
CUST100031,Youssef Hassan,SYN747804281519,Youssef Hassan,YES
